Sample Name,QC Flag (0 - high qulaity),Site,Plot,Year,Species,Rep,Latitude,Longitude,Elevation (m),Dbh (cm),Ht (m),Date,DOY,Time of Day,%N,LMA (g m-2),Leaf water Content,Leaf size (cm2),15N,13C,%C,C/N,Licor Obs #,PAR Setpoint (umol m-2 s-1),PAR Incident on leaf (umol m-2 s-1),PAR absorbed by leaf (umol m-2 s-1),Absorbed Shortwave Radiation (W/m-2),Heat exchange setpoint (oC),CO2 Setpoint (µmol mol?¹),H2O setpoint (mmol mol-1),Net CO2 Assimilation Rate (umol CO2 m-2 s-1),Transpiration Rate (mol m?² s?¹),Ambient CO2 (µmol mol?¹),Intercellular CO2 (µmol mol?¹),Stomatal Conductance to Water Vapor (mol m-2 s-1),Boundary Layer Conductance to Water Vapor (mol m-2 s-1),Total Conductance to Water Vapor (mol m-2 s-1),Total Conductance to CO2 (mol m-2 s-1),Leaf Temperature used for gas exchange computations (oC),Chamber Air Temperature (oC),Leaf Thermocouple 1 (oC),Saturation vapor pressure at leaf temperature  (kPa),Relative Humidity of Chamber (%),Vapor Pressure of Chamber (kPa),Saturation vapor pressure in chamber (kPa),Vapor pressure deficit at leaf temperature (kPa),LatHFlux (W m-2),SenHFlux (W m-2),NetTherm (W m-2),EBSum (W m-2),Leak from chamber  (umol s-1),Leak as percent of flow (%),Correction factor (K),Correction factor as a percent (%),Sample Cell CO2 conc (µmol mol?¹),Reference Cell CO2 conc (µmol mol?¹),Sample Cell H2O conc (mmol mol?¹),Reference Cell H2O conc (mmol mol?¹),Flow rate to chamber (µmol s?¹),Atmospheric Pressure (kPa),Fan Speed (rpm),Flow through sample cell (µmol s?¹),Flow through reference cell (µmol s?¹),filename,Net CO2 uptake (nmol g leaf-1 s-1),PSN eq 1,pSN eq 2,PSN eq 3,inti_a,a1_init,Amax_init
BEF-30G-POTR-13-2017,0,BEF,30G,2017,POTR,13,44,71,357,-9999,23.1,7/27/2017,208,1:54 PM,0.0195,83.46,-9999,33.31,-1.48,-29.56,0.486,24.93,4,700,699.88,590,115.64,40.68,400,25.34,8.79,0.00135,390.69,197.67,0.0774,2.21,0.0759,0.0476,29.32,30.02,29.33,4.1,56.81,2.42,4.26,1.68,-59.67,81.75,8.18,145.89,0,0,1,0,390.7,400.03,24.89,23.57,600.01,97.09,9981,638.1,321.83,2017-07-27-30G-13-POTR-LRC,105.3199137,6.964936479,6.511420198,145.5496288,0.185033,0.946561227,121.7349629
BEF-30G-POTR-13-2017,0,BEF,30G,2017,POTR,13,44,71,357,-9999,23.1,7/27/2017,208,1:55 PM,0.0195,83.46,-9999,33.31,-1.48,-29.56,0.486,24.93,5,400,399.89,337.11,66.08,41.13,400,25.34,7.67,0.00139,391.76,225.04,0.079,2.22,0.0775,0.0486,29.55,31.03,29.56,4.15,54.54,2.46,4.52,1.69,-61.36,175.75,17.66,198.13,0,0,1,0,391.75,399.98,25.32,23.96,600.01,97.09,10001,638.18,322.15,2017-07-27-30G-13-POTR-LRC,91.90031153,6.060100913,5.713836647,123.3211089,0.2902588,0.946561227,121.7349629
BEF-30G-POTR-13-2017,0,BEF,30G,2017,POTR,13,44,71,357,-9999,23.1,7/27/2017,208,1:55 PM,0.0195,83.46,-9999,33.31,-1.48,-29.56,0.486,24.93,6,200,199.94,168.55,33.04,31.85,400,25.34,5.64,0.00107,393.92,248.71,0.0668,2.22,0.0657,0.0412,28.85,29.99,28.85,3.99,57.83,2.46,4.26,1.53,-47.02,135.44,13.51,134.97,0,0,1,0,393.91,399.98,25.31,24.27,600.02,97.09,10001,637.53,322.1,2017-07-27-30G-13-POTR-LRC,67.57728253,4.650513687,4.443851753,89.98499775,0.4589025,0.946561227,121.7349629
BEF-30G-POTR-13-2017,0,BEF,30G,2017,POTR,13,44,71,357,-9999,23.1,7/27/2017,208,1:56 PM,0.0195,83.46,-9999,33.31,-1.48,-29.56,0.486,24.93,7,100,99.97,84.27,16.52,34.81,400,25.32,3.13,0.00108,396.44,313.11,0.0685,2.22,0.0674,0.0422,28.86,30.43,28.86,3.99,56.83,2.48,4.36,1.51,-47.67,186.41,18.61,173.88,0,0,1,0,396.45,400.01,25.49,24.43,600,97.09,10000,637.33,321.93,2017-07-27-30G-13-POTR-LRC,37.50299545,3.173998422,3.076354964,56.653332,0.6170621,0.946561227,121.7349629
BEF-30G-POTR-13-2017,0,BEF,30G,2017,POTR,13,44,71,357,-9999,23.1,7/27/2017,208,1:56 PM,0.0195,83.46,-9999,33.31,-1.48,-29.56,0.486,24.93,8,50,50.16,42.29,8.24,36.82,400,25.32,0.94,0.00118,398.56,365.83,0.0692,2.21,0.068,0.0426,29.36,31.14,29.37,4.11,54.56,2.48,4.54,1.63,-51.9,211.3,21.27,188.92,0,0,1,0,398.57,399.99,25.48,24.34,600,97.09,9991,636.82,321.65,2017-07-27-30G-13-POTR-LRC,11.26288042,1.946570218,1.90940236,30.10233451,0.7093218,0.946561227,121.7349629
BEF-30G-POTR-13-2017,0,BEF,30G,2017,POTR,13,44,71,357,-9999,23.1,7/27/2017,208,1:57 PM,0.0195,83.46,-9999,33.31,-1.48,-29.56,0.486,24.93,9,10,10.01,8.44,1.65,33.43,400,25.32,-1.23,0.00107,400.77,422.01,0.0607,2.22,0.0597,0.0374,29.49,31.02,29.49,4.14,54.38,2.46,4.52,1.68,-47.13,183.23,18.4,156.15,0,0,1,0,400.78,399.98,25.24,24.2,600.02,97.09,10020,636.21,321.38,2017-07-27-30G-13-POTR-LRC,-14.73759885,0.473260319,0.471031116,-0.467120613,0.9465612,0.946561227,121.7349629
BEF-30G-POTR-13-2017,0,BEF,30G,2017,POTR,13,44,71,357,-9999,23.1,7/27/2017,208,1:58 PM,0.0195,83.46,-9999,33.31,-1.48,-29.56,0.486,24.93,10,0,0,0,0,33.5,400,25.32,-2.02,0.000979,401.58,448.89,0.0547,2.22,0.054,0.0338,29.53,31.07,29.54,4.15,53.96,2.44,4.53,1.7,-43.16,183.33,18.44,158.61,0,0,1,0,401.6,399.96,25.12,24.17,600.02,97.09,9996,636,321.31,2017-07-27-30G-13-POTR-LRC,-24.20321112,0,0,-10,7777777,0.946561227,121.7349629
BEF-34K-FAGR-5-2017,0,BEF,34K,2017,FAGR,5,44,71,307,-9999,13.8,7/28/2017,209,12:38 PM,0.0201,46.77,-9999,73.12,-1.55,-29.73,0.4577,22.76,1,2000,2000,1686,330.46,22.98,400,21.8,6.26,0.00462,391.72,347.92,0.31,2.22,0.288,0.182,28.97,26.4,28.96,4.01,72.3,2.5,3.46,1.52,-203.65,-307.71,-30.07,-210.97,0,0,1,0,391.69,399.75,25.43,21.03,600.03,97.61,9998,638.97,320.43,2017-07-28-34K-5-FAGR-LRC,133.8464828,8,7.407407407,171.8181818,7777777,1.047680137,152.4481505
BEF-34K-FAGR-5-2017,0,BEF,34K,2017,FAGR,5,44,71,307,-9999,13.8,7/28/2017,209,12:39 PM,0.0201,46.77,-9999,73.12,-1.55,-29.73,0.4577,22.76,2,1500,1500.16,1264.64,247.83,26.54,400,21.76,6.77,0.00181,392.61,290.14,0.118,2.22,0.115,0.0721,28.05,26.53,28.05,3.81,66.49,2.31,3.48,1.49,-79.77,-183.1,-17.84,-32.88,0,0,1,0,392.62,400.07,23.64,21.88,599.98,97.61,9997,637.92,320.42,2017-07-28-34K-5-FAGR-LRC,144.7509087,7.792294139,7.228989977,166.4728026,7777777,1.047680137,152.4481505
BEF-34K-FAGR-5-2017,0,BEF,34K,2017,FAGR,5,44,71,307,-9999,13.8,7/28/2017,209,12:40 PM,0.0201,46.77,-9999,73.12,-1.55,-29.73,0.4577,22.76,3,1000,999.99,842.99,165.23,35.13,400,22.92,7,0.00122,392.09,224.45,0.0715,2.22,0.0702,0.044,28.52,28.42,28.54,3.91,58.49,2.27,3.88,1.64,-53.62,-14.24,-1.4,95.97,0,0,1,0,392.08,399.53,23.27,22.11,600.03,97.61,10009,637.95,320.81,2017-07-28-34K-5-FAGR-LRC,149.668591,7.407396433,6.896542212,156.6663889,7777777,1.047680137,152.4481505
